Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Peak Freq Contour (Hz)
6	Spectrogram 1	1	4.826640843	4.957860375	3006.8	8822.3	Phae.long3.wav	/tmp/RtmpWpOeaR/Phae.long3.wav	0.627	4218.8;6240.2;6591.8;6679.7;7119.1;5009.8;5800.8;6240.2;6767.6;6416.0;6328.1;6328.1;6503.9;6679.7;6591.8;5537.1;6679.7;6679.7;6591.8;6943.4;5976.6;6591.8;7119.1;6767.6;7470.7;6416.0;7470.7;6591.8;7998.0;7119.1;7910.2;7031.2;6943.4;7470.7;6943.4;7734.4;7119.1;7822.3;6416.0;6855.5
7	Waveform 1	1	6.174302098	6.304481023	2776.8	8888.0	Phae.long3.wav	/tmp/RtmpWpOeaR/Phae.long3.wav	1.974	
7	Spectrogram 1	1	6.174302098	6.304481023	2776.8	8888.0	Phae.long3.wav	/tmp/RtmpWpOeaR/Phae.long3.wav	1.974	6328.1;6328.1;6503.9;4658.2;4921.9;5273.4;5712.9;5625.0;6416.0;6240.2;6240.2;6416.0;6591.8;6328.1;6767.6;5976.6;7646.5;6152.3;6767.6;7294.9;6328.1;7998.0;6064.5;6855.5;7031.2;6591.8;7910.2;6591.8;6679.7;7470.7;6591.8;7470.7;6591.8;7558.6;6767.6;6943.4;6943.4;6503.9;6679.7
8	Waveform 1	1	4.323453172	4.454670129	2316.9	9315.2	Phae.long3.wav	/tmp/RtmpWpOeaR/Phae.long3.wav	0.123	
8	Spectrogram 1	1	4.323453172	4.454670129	2316.9	9315.2	Phae.long3.wav	/tmp/RtmpWpOeaR/Phae.long3.wav	0.123	6152.3;6416.0;6767.6;4921.9;5449.2;5097.7;5361.3;6328.1;5888.7;5800.8;5888.7;6503.9;5888.7;7646.5;6152.3;7646.5;6767.6;6240.2;7998.0;6240.2;7998.0;6679.7;6679.7;7119.1;6416.0;7998.0;6679.7;6679.7;6943.4;6591.8;7294.9;6591.8;7470.7;6767.6;6943.4;6591.8;6591.8;6416.0;7558.6
9	Waveform 1	1	7.916900473	8.062325384	2514.0	9216.6	Phae.long4.wav	/tmp/RtmpWpOeaR/Phae.long4.wav	1.517	
9	Spectrogram 1	1	7.916900473	8.062325384	2514.0	9216.6	Phae.long4.wav	/tmp/RtmpWpOeaR/Phae.long4.wav	1.517	7822.3;7822.3;7910.2;5361.3;5449.2;5449.2;5537.1;5712.9;5800.8;5976.6;6240.2;6416.0;6679.7;6855.5;7031.2;7207.0;7294.9;7470.7;7646.5;7910.2;8085.9;8261.7;8701.2;4658.2;5009.8;5361.3;5537.1;5712.9;5888.7;6064.5;6152.3;6240.2;6679.7;6855.5;7119.1;7294.9;6152.3;4746.1;4218.8;3955.1;3691.4;3427.7
10	Waveform 1	1	9.332780872	9.476967321	2579.7	10235.1	Phae.long4.wav	/tmp/RtmpWpOeaR/Phae.long4.wav	2.933	
10	Spectrogram 1	1	9.332780872	9.476967321	2579.7	10235.1	Phae.long4.wav	/tmp/RtmpWpOeaR/Phae.long4.wav	2.933	7910.2;7998.0;8085.9;5449.2;5537.1;5625.0;5712.9;5888.7;6064.5;6240.2;6503.9;6767.6;7031.2;7207.0;7294.9;7470.7;7646.5;7822.3;8085.9;8261.7;8613.3;8877.0;4746.1;5185.5;5449.2;5625.0;5888.7;5976.6;6152.3;6240.2;6328.1;6855.5;7031.2;7119.1;6328.1;5009.8;4570.3;4218.8;3955.1;3691.4;3427.7;5625.0;6152.3
11	Waveform 1	1	6.545486549	6.690585476	2579.7	9742.3	Phae.long4.wav	/tmp/RtmpWpOeaR/Phae.long4.wav	0.145	
11	Spectrogram 1	1	6.545486549	6.690585476	2579.7	9742.3	Phae.long4.wav	/tmp/RtmpWpOeaR/Phae.long4.wav	0.145	5185.5;5185.5;7910.2;7910.2;5361.3;5449.2;5537.1;5625.0;5800.8;5888.7;6064.5;6328.1;6591.8;6767.6;6943.4;7119.1;7294.9;7382.8;7558.6;7734.4;7910.2;4043.0;8437.5;4394.5;4746.1;5009.8;5273.4;5537.1;5712.9;5888.7;6064.5;6152.3;6591.8;6855.5;6855.5;7207.0;6152.3;5009.8;4306.6;4043.0;3779.3;3515.6;2988.3;4746.1
